start.time.managerWebpack,33000
start.time.previewWebpack,51000
start.time.managerRender,55349
start.time.previewRender,56225
start.time.storyRender,56763
build.time.build,70328
browse.time.managerRender,671
browse.time.previewRender,1246
browse.time.storyRender,1930
browse.size.total,18880
browse.size.manager.total,2313
browse.size.manager.main,5
browse.size.manager.runtime,4
browse.size.manager.vendors,2304
browse.size.manager.uiDll,0
browse.size.preview.total,7958
browse.size.preview.main,5273
browse.size.preview.runtime,4
browse.size.preview.vendors,2681
browse.size.preview.docsDll,0
