start.time.managerWebpack,43000
start.time.previewWebpack,54000
start.time.managerRender,57954
start.time.previewRender,58852
start.time.storyRender,59416
build.time.build,70839
browse.time.managerRender,688
browse.time.previewRender,1284
browse.time.storyRender,1959
browse.size.total,18880
browse.size.manager.total,2313
browse.size.manager.main,5
browse.size.manager.runtime,4
browse.size.manager.vendors,2304
browse.size.manager.uiDll,0
browse.size.preview.total,7958
browse.size.preview.main,5273
browse.size.preview.runtime,4
browse.size.preview.vendors,2681
browse.size.preview.docsDll,0
