start.time.managerWebpack,41000
start.time.previewWebpack,54000
start.time.managerRender,58202
start.time.previewRender,59101
start.time.storyRender,59684
build.time.build,71532
browse.time.managerRender,677
browse.time.previewRender,1270
browse.time.storyRender,1944
browse.size.total,18880
browse.size.manager.total,2313
browse.size.manager.main,5
browse.size.manager.runtime,4
browse.size.manager.vendors,2304
browse.size.manager.uiDll,0
browse.size.preview.total,7958
browse.size.preview.main,5273
browse.size.preview.runtime,4
browse.size.preview.vendors,2681
browse.size.preview.docsDll,0
