start.time.managerWebpack,51000
start.time.previewWebpack,55000
start.time.managerRender,61332
start.time.previewRender,62775
start.time.storyRender,63643
build.time.build,83138
browse.time.managerRender,1703
browse.time.previewRender,3035
browse.time.storyRender,4698
browse.size.total,18713
browse.size.manager.total,2266
browse.size.manager.main,1
browse.size.manager.runtime,7
browse.size.manager.vendors,2258
browse.size.manager.uiDll,0
browse.size.preview.total,7634
browse.size.preview.main,4986
browse.size.preview.runtime,7
browse.size.preview.vendors,2642
browse.size.preview.docsDll,0
