modified,rendered,hmr
1650080357.833,1650080358.635,0.802
1650080377.187,1650080377.623,0.436
1650080390.157,1650080390.982,0.825
1650080412.789,1650080413.271,0.482
1650080425.581,1650080426.415,0.834
